m,s,min_svd_list,max_svd_list,avg_time
150,5,"[0.2090382489180566, 0.18939186271233127, 0.21032863904194876, 0.20940722548758348, 0.1919427729306849, 0.19521645173907096, 0.21760536601356104, 0.20516859054626135, 0.19305550232769816, 0.22180162857525473, 0.1873640332946452, 0.18796386960355127, 0.20628805226874578, 0.19648341750113205, 0.18428749118129445, 0.20138209670319682, 0.2198544417375213, 0.17646637462090758, 0.22069475564323873, 0.20282761253850906]","[1.7562812067820874, 1.8121372805587643, 1.803750897331272, 1.7975591386047907, 1.7706577880176673, 1.7668739722399234, 1.8055316545442246, 1.7740917918871368, 1.7617111558618272, 1.7999143111245848, 1.8482234947726717, 1.759660286179312, 1.7772586147493008, 1.7847598875820236, 1.770289458263178, 1.7694377859122912, 1.8028965723815071, 1.8313651531087252, 1.7660945076781631, 1.7880940199987858]",0.051517057418823245
150,10,"[0.21502038229499182, 0.17007730721138972, 0.19490719269026624, 0.18657154142218596, 0.19404286074426422, 0.1969927781367704, 0.19646693801334408, 0.1262043952252852, 0.20446041819280084, 0.1841129423278789, 0.2277306872307498, 0.20719673271390146, 0.18056031665077568, 0.20181229888018903, 0.19360376442450247, 0.18622612246219197, 0.21843042095477747, 0.20161185297027454, 0.19252155523734812, 0.1860493300275047]","[1.8316663995491065, 1.7809804127314122, 1.7488619047078076, 1.796301786905076, 1.8864186247313677, 1.7403728939499088, 1.77817192230617, 1.8016626796198036, 1.829211793551809, 1.7947628516458862, 1.7866976296496277, 1.7801894416151884, 1.806226307842425, 1.8007419959898217, 1.7426473828339384, 1.7902944359541744, 1.7679078724936954, 1.8116433264384202, 1.7595991272167608, 1.7802301143760242]",0.05103809833526611
150,15,"[0.199137887825668, 0.19774478169348278, 0.18912706213444103, 0.18450129719639496, 0.21158920899216793, 0.20372181909025341, 0.21926091928147715, 0.2083841401689588, 0.17983567717932028, 0.19274093264993858, 0.1954092940679035, 0.2214629571699276, 0.21782434800516762, 0.2393553495446225, 0.2065110817957177, 0.2042017065024404, 0.2131004381356532, 0.19759992445605967, 0.19333092044630576, 0.21223488825169357]","[1.7570767802093894, 1.7582225553696649, 1.8074102606402886, 1.7919130930194787, 1.7837113370151714, 1.8204147080868178, 1.7704452505187425, 1.8175545619613207, 1.8531576433509678, 1.810861969169645, 1.7887175979120238, 1.8309324623772871, 1.7738294380663617, 1.7886531630269187, 1.730014657005354, 1.7964477682977762, 1.747202897286947, 1.7911783833808197, 1.8629124701368123, 1.7525648933685705]",0.05513254404067993
150,20,"[0.19994739480720583, 0.2107261143130601, 0.19037531689653087, 0.17766179536613075, 0.18918645882405488, 0.21692190469541292, 0.1786169394529191, 0.208533424251978, 0.18707800195998014, 0.19165604250232268, 0.20661205170231975, 0.18694967689203468, 0.21558717316417347, 0.208468759879251, 0.20612468213540108, 0.19386792457657218, 0.2064439744784205, 0.2110710002551795, 0.18937364512117333, 0.2017069082103299]","[1.7912214271678943, 1.7524287652917097, 1.804895116506781, 1.7718389083478085, 1.816829387238159, 1.771555892164108, 1.7321221305931354, 1.800019120858322, 1.7914988906864082, 1.81553307125072, 1.7693079903043596, 1.7765431779497387, 1.7524150206533613, 1.7681445808110734, 1.815643546127874, 1.7295871795186581, 1.812962990052061, 1.7638897493148658, 1.755777777031034, 1.7472131580652488]",0.05649232864379883
150,25,"[0.20297053060599596, 0.1923145435411826, 0.18688207429528633, 0.21595684039989105, 0.18331774294936237, 0.19248084181079736, 0.1880894965908777, 0.20542462847693163, 0.2031567321895556, 0.18174954058778958, 0.20707097645328484, 0.16504568920980217, 0.1782802710619279, 0.19980531127881684, 0.2147332684561022, 0.1870210896687521, 0.2154651661784281, 0.2101856401742803, 0.18465251593821483, 0.17820241210748136]","[1.7659807068281788, 1.8049186153717205, 1.7811845650874374, 1.772594747732056, 1.8076328933253312, 1.765530838472172, 1.7588745895399494, 1.8030674669144737, 1.7581328765856048, 1.8133878105458885, 1.7474196500291759, 1.7963135666542829, 1.7983714639559119, 1.766350433928614, 1.8266977582446964, 1.7642899250990363, 1.7737896654924536, 1.8146654039330368, 1.773876359892269, 1.850137144971211]",0.05560802221298218
150,30,"[0.17272898523066735, 0.18278406878868952, 0.18187736405531119, 0.18016196937132958, 0.21278110317287802, 0.2109747653354812, 0.22452602650494316, 0.21828531931606165, 0.18137703302550365, 0.225950430772131, 0.2037492099160417, 0.18941649189751525, 0.18992125225150255, 0.21194377752127547, 0.20684769656767224, 0.20979557663675688, 0.19700193813959957, 0.19788970211620335, 0.1837918365536688, 0.20987749519294158]","[1.7676016048154113, 1.7708217432615097, 1.7494415893739168, 1.7531055772901105, 1.785919549598242, 1.7472881505382105, 1.7527633128731845, 1.770151879034943, 1.8070624259927512, 1.7697573932941184, 1.7929949892176245, 1.760912353828189, 1.7858287204922474, 1.7826372861014887, 1.7581679819768743, 1.753594864140131, 1.8031080841791707, 1.8146725221361129, 1.8115876058606168, 1.7712489693142193]",0.059230268001556396
150,35,"[0.21235410359035142, 0.19817183376106917, 0.18895319126246504, 0.19908086055822177, 0.19883801417119296, 0.1714658003907262, 0.20030453131806883, 0.20177673648427086, 0.19428036202527674, 0.19619175552874854, 0.20955195043798716, 0.1947286198674649, 0.2032696196939629, 0.17092014721797646, 0.21949416636301708, 0.21063176868978775, 0.20478273753881251, 0.18732812282655564, 0.190926700214622, 0.22812933684442563]","[1.810574564772389, 1.7833729269976493, 1.7480459448454981, 1.8052140196707533, 1.852487397032184, 1.7601397792044153, 1.7623167976699314, 1.7806272835562191, 1.7788818575720713, 1.762752597398735, 1.8081649792771881, 1.8009409785263317, 1.8477697064836185, 1.7235991150312258, 1.8180548444854205, 1.798792975452038, 1.7359304268473603, 1.7819499587191507, 1.7736083392856536, 1.7873137140462778]",0.06336498260498047
150,40,"[0.20087433965553328, 0.1827361966737113, 0.20403996590269677, 0.19697732690557035, 0.1963996678935542, 0.18710388396434322, 0.19106442570781318, 0.20721331707000634, 0.200589428615344, 0.2108915747982246, 0.2031907838968203, 0.18345878640759256, 0.20552232446555815, 0.1985875864011811, 0.20467767341198578, 0.20051455573744056, 0.20909783406431998, 0.19958420559580584, 0.21297729328385817, 0.20404850335555072]","[1.7850425156909924, 1.7317595308909044, 1.7972164668869448, 1.8155429508806151, 1.7936728759585134, 1.783506905955236, 1.7489667259114061, 1.7753971809694238, 1.7606778507963299, 1.794500474079317, 1.817157657874008, 1.858554217880713, 1.7564306354698482, 1.7787876871569488, 1.7693581569007408, 1.71707517242723, 1.815469428271491, 1.8420829428342527, 1.8045764469638252, 1.7910762895489265]",0.062466907501220706
150,45,"[0.2223652976612996, 0.17106126576749695, 0.21185896014903724, 0.18807155792736768, 0.18615398620024423, 0.2130927919511063, 0.1754490036460097, 0.1870513514694371, 0.19727369668386177, 0.1888828579412227, 0.18871202439421014, 0.18703822633530875, 0.20152791049762098, 0.18551206719283397, 0.1921631856851814, 0.20184143541517835, 0.2022725376983011, 0.20418786803294076, 0.1781403913318533, 0.19171551929083538]","[1.7802746394328786, 1.8227377165893726, 1.820515076211003, 1.7873042278508582, 1.8433317575266908, 1.7621829399266677, 1.7985573560134878, 1.7687557190915937, 1.7530134081277402, 1.7696539009423544, 1.758366596516117, 1.760067434449879, 1.7302144447727192, 1.8207654614697832, 1.7962858266124562, 1.781617546017377, 1.814004273142249, 1.774170023872095, 1.7300262844205567, 1.7758591328122857]",0.06167027950286865
150,50,"[0.19874086356371634, 0.19769353482661955, 0.17940256038143795, 0.20369554742352197, 0.20937321505594417, 0.20683511849347108, 0.18857367788440677, 0.17968676624207494, 0.21763359165149868, 0.1988933291728354, 0.21987703750956863, 0.2154680060777433, 0.19088507311947592, 0.2269670909700068, 0.19525342838479365, 0.2185638896093827, 0.18916207404992327, 0.1868830436818013, 0.19372223658427065, 0.1865200648344207]","[1.7781531857373343, 1.7951306302192815, 1.7907540646947113, 1.7223676871778417, 1.7935666024254846, 1.8140903408449922, 1.8158043050975867, 1.816263801208805, 1.7554532907912015, 1.8255267702074607, 1.8407967540429853, 1.8331312389902497, 1.7728729602765942, 1.7893398360723716, 1.7863287456850634, 1.7867078548255206, 1.7533647780321315, 1.8348066281975062, 1.846640993472042, 1.791236466450673]",0.0638623595237732
150,55,"[0.19226983238826229, 0.19633820547054306, 0.1987637931160016, 0.19895180046203706, 0.2189076253694345, 0.2158381528051372, 0.19095278350329495, 0.21856766649718035, 0.20858367463694205, 0.20201865682021533, 0.19837400179875025, 0.20038440751289271, 0.19557014461650016, 0.17023376874872662, 0.2179091725168274, 0.18928128346875822, 0.21064618752128905, 0.1921871101876016, 0.2158135217306499, 0.22840148388262757]","[1.778922549932277, 1.7810840036946534, 1.773236526432951, 1.786845232398606, 1.7874451117458683, 1.769627003315388, 1.762876925697098, 1.7721681509083205, 1.7759836863998772, 1.7732316729246376, 1.7935303302913637, 1.796580302574283, 1.7703586213807547, 1.7763025509599157, 1.7780191543037929, 1.78110300905866, 1.8146066180070004, 1.7951811402462279, 1.8174455076978366, 1.7846467780215982]",0.064443039894104
150,60,"[0.1954183408843812, 0.20077318559961893, 0.19408995386927064, 0.21340682385373164, 0.21364708999543242, 0.21097874927625113, 0.22056458122623218, 0.19167352246789005, 0.20087925288176772, 0.21240789080814995, 0.19030506471642192, 0.1750594280978485, 0.20164858757329182, 0.20292683351218319, 0.17614768517699825, 0.2014505158571705, 0.18510625262125902, 0.21348329664745308, 0.21909022144512832, 0.20730629888412208]","[1.8095276646556124, 1.8429896624570976, 1.8709867704769165, 1.857158957967711, 1.8090006408167327, 1.773433216385854, 1.7764567217295002, 1.7692498754479018, 1.8427555718432322, 1.8196456202957927, 1.7515952302477538, 1.7307720045307309, 1.8172466355912202, 1.860629251264178, 1.7796922032282383, 1.7951176928622732, 1.8102703170800458, 1.7749860233423174, 1.7502228714525283, 1.7620118371004037]",0.06669598817825317
150,65,"[0.19085197435064818, 0.1927217581455266, 0.19734998776717014, 0.19392123049608812, 0.23395557131424216, 0.1825264737839568, 0.18085366452989476, 0.21480412671196117, 0.1927871564517358, 0.19919944166169787, 0.19531883409682513, 0.17487681556799956, 0.1611292108512241, 0.1897508176266323, 0.19674227964791746, 0.20901886105105885, 0.20810758484067682, 0.21610226019657222, 0.19615297558696873, 0.1839391975249353]","[1.8046452631882406, 1.7305261131134904, 1.8455226350799305, 1.776058389130626, 1.8161493582594208, 1.7616984642780296, 1.7957441693716871, 1.773727793068201, 1.7955905590285142, 1.778313705263549, 1.806748359590465, 1.7881033559611454, 1.7536216263774267, 1.7985553536161378, 1.7476756249086127, 1.7447078415541863, 1.7711294285112003, 1.7872482557478904, 1.7520509152696038, 1.8005402902046508]",0.06602433919906617
